zipcode,income
77002,65434.5
77003,37664
77004,41983
77005,159732
77006,67458
77007,98725
77008,70293
77009,43830
77010,149444
77011,26922
77012,34891
77013,38807
77014,41033
77015,44167
77016,31327
77017,36796
77018,61980
77019,90000
77020,27871
77021,32096
77022,28810
77023,36065
77024,111139
77025,65524
77026,21335
77027,81661
77028,30807
77029,30811
77030,71078
77031,39787
77032,23363
77033,28510
77034,43905
77035,37962
77036,28175
77037,36229
77038,39758
77039,38167
77040,53233
77041,70608
77042,46159
77043,53615
77044,72761
77045,39020
77046,85943
77047,49625
77048,36818
77049,52287
77050,47083
77051,23237
77054,42447
77055,45264
77056,92521
77057,54614
77058,51868
77059,132137
77060,27750
77061,33828
77062,87288
77063,46611
77064,64234
77065,56110
77066,60816
77067,38093
77068,71932
77069,67618
77070,69929
77071,45941
77072,36457
77073,51206
77074,34529
77075,47644
77076,31212
77077,61702
77078,31118
77079,95589
77080,38159
77081,27191
77082,49962
77083,53879
77084,62785
77085,51250
77086,42581
77087,38707
77088,41104
77089,63141
77090,37910
77091,28628
77092,37085
77093,32222
77094,155577
77095,89393
77096,63346
77098,80932
77099,35879
77336,63814
77338,47968
77339,72200
77345,122905
77346,87508
77373,67742
77375,61463
77377,94083
77379,98335
77388,82725
77389,99702
77396,58739
77401,147660
77429,98100
77433,92150
77447,65263
77449,65445
77450,99575
77493,77044
77502,43014
77503,44939
77504,41691
77505,73011
77506,30617
77520,43409
77521,55881
77530,45514
77532,63211
77536,77824
77547,40310
77562,57394
77571,69004
77586,86786
77587,37147
77598,46161
