Zipcode,Income
77002,65434.5
77003,37664.0
77004,41983.0
77005,159732.0
77006,67458.0
77007,98725.0
77008,70293.0
77009,43830.0
77010,149444.0
77011,26922.0
77012,34891.0
77013,38807.0
77014,41033.0
77015,44167.0
77016,31327.0
77017,36796.0
77018,61980.0
77019,90000.0
77020,27871.0
77021,32096.0
77022,28810.0
77023,36065.0
77024,111139.0
77025,65524.0
77026,21335.0
77027,81661.0
77028,30807.0
77029,30811.0
77030,71078.0
77031,39787.0
77032,23363.0
77033,28510.0
77034,43905.0
77035,37962.0
77036,28175.0
77037,36229.0
77038,39758.0
77039,38167.0
77040,53233.0
77041,70608.0
77042,46159.0
77043,53615.0
77044,72761.0
77045,39020.0
77046,85943.0
77047,49625.0
77048,36818.0
77049,52287.0
77050,47083.0
77051,23237.0
77054,42447.0
77055,45264.0
77056,92521.0
77057,54614.0
77058,51868.0
77059,132137.0
77060,27750.0
77061,33828.0
77062,87288.0
77063,46611.0
77064,64234.0
77065,56110.0
77066,60816.0
77067,38093.0
77068,71932.0
77069,67618.0
77070,69929.0
77071,45941.0
77072,36457.0
77073,51206.0
77074,34529.0
77075,47644.0
77076,31212.0
77077,61702.0
77078,31118.0
77079,95589.0
77080,38159.0
77081,27191.0
77082,49962.0
77083,53879.0
77084,62785.0
77085,51250.0
77086,42581.0
77087,38707.0
77088,41104.0
77089,63141.0
77090,37910.0
77091,28628.0
77092,37085.0
77093,32222.0
77094,155577.0
77095,89393.0
77096,63346.0
77098,80932.0
77099,35879.0
77336,63814.0
77338,47968.0
77339,72200.0
77345,122905.0
77346,87508.0
77373,67742.0
77375,61463.0
77377,94083.0
77379,98335.0
77388,82725.0
77389,99702.0
77396,58739.0
77401,147660.0
77429,98100.0
77433,92150.0
77447,65263.0
77449,65445.0
77450,99575.0
77493,77044.0
77502,43014.0
77503,44939.0
77504,41691.0
77505,73011.0
77506,30617.0
77520,43409.0
77521,55881.0
77530,45514.0
77532,63211.0
77536,77824.0
77547,40310.0
77562,57394.0
77571,69004.0
77586,86786.0
77587,37147.0
77598,46161.0
